PRABHAT MEDICINE COMPANY,,,
"SHOP NO. 10 & 18, CENTRAL PLAZA KHAIR NAGAR, MEERUT CITY",,,
SUPPLIER LIST,,,
109,,ROHAN PHARMACEUTICALS,Mob : 
,,"SHOP NO. 5/7,JHANDA BAZAR",Tel : 
,,1ST FLOOR R.R.N. PLAZA DEHRADUN,DL.NO. : 20B-UA-DEH-102540
,,,GstNo : 05DQRPK6796P1ZK
,,,Email: 
,,,
110,,ROHIT MEDICINE COMPANY,Mob : 
,,"7,INDIRA MARKET GURUDWARA",Tel : 
,,ROAD MODINAGAR,"DL.NO. : 8/21B/95 , 9/20B/95"
,,,GstNo : 09ABWPK8434D1Z7
,,,Email: 
,,,
111,,S.R.PHARMACEUTICALS,Mob : 
,,"G-15,CENTRAL PLAZA KHAIR NAGAR",Tel : 
,,MEERUT,DL.NO. : OBW-20B-123/2014
,,,GstNo : 
,,,Email: 
,,,
112,,S.S.BIOTECH,Mob : 
,,"S-465/466,1ST FLOOR VISHWAMITR",Tel : 0522-4044664
,,COMPLEX TRANSPORT NAGAR,DL.NO. : 
,,LUCKNOW,GstNo : 
,,,Email: 
,,,
113,,SAI MEDICAL STORE,Mob : 
,,BHARAT HOSPITAL GHAR ROAD,Tel : 
,,MEERUT,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
114,,SAISUN PHARMA PVT. LTD.,Mob : 
,,"PLOT NO-C-39, FIRST FLOOR NAVYUG",Tel : 0120-4116397
,,MARKET INDUSTRIAL AREA SITE-3,DL.NO. : UP1420B002339
,,MEERUT RTOAD GHAZIABAD-201001,GstNo : 09AAHCS4702M1Z1
,,,Email: saisun.ghaziabad@larenon.com
,,,
115,,SANDEEP MEDICAL AGENCIES,Mob : 
,,"20-A,21-A,22-A,AGGARWAL MARKET",Tel : 
,,MAHAVEER CHOWK MUZAFFAR NAGAR,"DL.NO. : 20-B-183/1986 , 21-B-184/1986"
,,251001,GstNo : 09AAZPK0250B1ZS
,,,Email: sandeep.medical86@gmail.com
,,,
116,,SANJEEV DISTRIBUTORS,Mob : 
,,KISHAN PURA SAHARANPUR U.P.,Tel : 
,,247001,DL.NO. : SRE-26/20-B/2013
,,,GstNo : 09AAYPK6604N1ZU
,,,Email: 
,,,
117,,SANJEEV MEDICOSE,Mob : 
,,OPP. VARDHMAN COLLEGE,Tel : 
,,BIJNORE (U.P.),DL.NO. : UP2020B000199
,,,GstNo : 09AGWPG0703A1ZR
,,,Email: 
,,,
118,,SANJEEVANI ENTERPRISES,Mob : 
,,1ST FLOOR HOTEL ASHOK KALING,Tel : 7520006332
,,"GURUDWRA ROAD,THAPAR NAGAR",DL.NO. : MTR-OBW-315/2010
,,MEERUT,GstNo : 09ACGFS0345C1ZE
,,,Email: 
,,,
119,,SAPNA DISTRIBUTORS,Mob : 
,,"F-9 ,PALLAV PURAM PHASE 1",Tel : 0121-2578933
,,NH-58 MEERUT,"DL.NO. : UP1520B002139 , UP1521B002133"
,,,GstNo : 09AAKPC4390D1ZU
,,,Email: 
,,,
120,,SARTHAK MEDICINE COMPANY,Mob : 
,,SHOP NO. 5 GROUND FLOOR,Tel : 
,,BANBATAN KHAIR NAGAR MEERUT,"DL.NO. : UP1520B001475 , UP1521B001467"
,,,GstNo : 09BHNPR5672Q1Z3
,,,Email: 
,,,
121,,SHAGUN MEDICINES&SURGICAL AGEN,Mob : 
,,"F-13-14,1ST FLOOR CENTRAL PLAZA",Tel : 
,,KHAIR NAGAR MEERUT,"DL.NO. : UP1520B000730,UP1521B000727"
,,,GstNo : 09AIEPG9548B1Z9
,,,Email: 
,,,
122,,SHAKUN SALES PVT.LTD.,Mob : 
,,"1/152,1STFLOOR PHASE II",Tel : 05224916811
,,TRANSPORT NAGAR LUCKNOW,DL.NO. : LKO-2015/20B/00055
,,,GstNo : 
,,,Email: infocardia@bayirextracts.com
,,,
123,,SHANVI ENTERPRISES,Mob : 
,,"SHANTI VIHAR PHASE-1,AJABPUR KALAN",Tel : 
,,DEHRADUN UTTRAKHAND-248001,"DL.NO. : UA-DHE-133158 , UA-DHE-133159"
,,,GstNo : 05CEYPV8306J1ZM
,,,Email: shanvienterprises1947@gmail.co
,,,
124,,SHIVA MEDICOSE,Mob : 
,,"FF-3,MATEEN COMPLEX",Tel : 
,,KHAIR NAGAR MEERUT,"DL.NO. : MRT-OBW-51/12 , MRT-BW-52/12"
,,,GstNo : 
,,,Email: 
,,,
125,,SHRADHA AGENCIES,Mob : 
,,"LAND NO.113,MAUZA BANJARWALA",Tel : 
,,NEAR MAX SCHOOL,DL.NO. : 20B-UA-DHE-107004
,,,GstNo : 05BKQPB5438N1ZR
,,,Email: shradhaagencies2014@gmail.com
,,,
126,,SHREE MARUTI NANDAN PVT LTD.,Mob : 
,,"G-1,2ND FLOOR,B-23,SECTOR-67,NOIDA",Tel : 
,,G.B NAGAR [ U.P. ],"DL.NO. : UP1620B000724 , UP1621B000715"
,,,GstNo : 09AASCS9186L1Z4
,,,Email: contactus@shreemarutinandan.co
,,,
127,,SHRI RADHE KRISHNA MEDICAL AG.,Mob : 
,,SHOP NO. 44/852 GULAB NAGAR,Tel : 
,,"BODLA, AGRA",DL.NO. : AGA-2017/20B/000404
,,,GstNo : 09AHJPT4300N1ZX
,,,Email: 
,,,
128,,SHRISTHI MEDICOSE,Mob : 
,,MALVIYA CHOWK BEHINDBIKANARE,Tel : 
,,SWEET SHOP CHAW MANDI ROORKEE,"DL.NO. : 20B-108986 , 21B108987"
,,HARIDWAR [U.K.],GstNo : 05AIKPT3170E1ZA
,,,Email: 
,,,
129,,SINDH ENTERPRISES,Mob : 
,,KHASRA NO. 436 1ST FLOOR,Tel : 
,,"VILL-ROSHANPUR DORLI , PARGANA",DL.NO. : UP1520B000368/20B
,,"DAURALA, MODIPURAM",GstNo : 09ACWFS3832J1ZD
,,,Email: 
,,,
130,,SINDH MEDICAL STORE (AGENCIES),Mob : 
,,"87/B,HILL STREET MEERUT CANTT",Tel : 
,,250002,"DL.NO. : UP1520B001329 , UP1521B001321"
,,,GstNo : 09AAFFS3059Q1ZH
,,,Email: 
,,,
131,,SINGH ASSOCIATES,Mob : 
,,G-4FIRST FLOOR TRANSPORT NAGAR,Tel : 
,,KANPUR ROAD LUCKNOW-226012,DL.NO. : LKO/FDA/4483/14
,,,GstNo : 09ACQFS0253D1Z3
,,,Email: 
,,,
132,,SINGHAL MEDICAL AGENCIES,Mob : 
,,"49,ZILA PARISHAD MARKET",Tel : 
,,MUZAFFAR NAGAR (U.P.),"DL.NO. : 20B-273/2015 , 21B-274/2015"
,,,GstNo : 09AAFFS4263E1Z6
,,,Email: 
,,,
133,,STUTI PHARMACEUTICALS,Mob : 
,,"AF-3 , 1ST FLOOR , SHIVAM",Tel : 01212423993
,,COMPLEX KHAIR NAGAR MEERUT,"DL.NO. : MRT-OBW-71/12 , MRT-BW-72/12"
,,,GstNo : 
,,,Email: 
,,,
134,,SUNNY PHARMA,Mob : 
,,"UNITED COMP. RETI-STREET,MBD",Tel : 
,,,"DL.NO. : MBD/02/20-B/253,21-B/254"
,,,GstNo : 
,,,Email: 
,,,
135,,SURYA THREADS,Mob : 
,,"GURUDWARA ROAD , GALI NO. 2",Tel : 
,,MODINAGAR,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
136,,SWADESH MEDICAL AGENCY,Mob : 
,,115 1ST FLOOR JILA PARISHAD,Tel : 
,,MARKET MUZAFFAR NAGAR,"DL.NO. : 20-B-50/14 , 21-B-50/14"
,,,GstNo : 
,,,Email: 
,,,
137,,SWASTIK MEDICOSE,Mob : 
,,"SHOP NO. 1 , PALIKA BAZAR",Tel : 
,,SHAMLI,DL.NO. : UP1920B000029
,,,GstNo : 09AQBPK8722A3Z2
,,,Email: 
,,,
138,,TOMAR MEDICAL AGENCY,Mob : 
,,192-SHIV SHANKAR PURI,Tel : 
,,SHARDA ROAD NEAR CITY LOOK,"DL.NO. : 20-OBW-33/2005 , 21-BW-34/2005"
,,PUBLIC SCHOOL MEERUT,GstNo : 09AECPT2934A1ZP
,,,Email: 
,,,
139,,UGS PHARMACEUTICALS PVT. LTD.,Mob : 
,,PAN DARIBA 324 KHAIR NAGAR,Tel : 01212516260
,,MEERUT,"DL.NO. : OBW-5/11/94 , BW-6/11/94"
,,PHARMACEUTICALS DISTRIBUTORS,GstNo : 
,,,Email: 
,,,
140,,VACCINE WORLD,Mob : 
,,41-B IIND FLOOR AGARWAL,Tel : 
,,MARKET MAHAVIR CHOWK,"DL.NO. : 20-B-127/2008 , 21-B-128/2008"
,,MUZAFFAR NAGAR,GstNo : 09AZHPS7916B1Z4
,,,Email: 
,,,
141,,VANDANA MEDICOS,Mob : 
,,"NAI BASTI ,",Tel : 
,,GHAZIABAD,DL.NO. : 336/21B/ GZB/2006
,,,GstNo : 
,,,Email: 
,,,
142,,VANSH MEDICOSE,Mob : 
,,"S-B-1  S-B-2, 1ST FLOOR & II FLOOR",Tel : 
,,SHIVAM COMPLEX KHAIR NAGAR MEERUT,"DL.NO. : MTR-20B-81/2015 ,"
,,,GstNo : 09DMAPK2958E1Z0
,,,Email: 
,,,
143,,VEDANT MEDICOS,Mob : 
,,AF-1 SHIVAM COMPLEX,Tel : 
,,KHAIR NAGAR MEERUT,"DL.NO. : MRT-OBW-319/10 , MRT-BW-320/10"
,,,GstNo : 
,,,Email: 
,,,
144,,VEENA PHARMACEUTICALS,Mob : 
,,"B-3,H-ROAD,NEAR NEERA NURSING",Tel : 8874205056
,,"HOME , MAHANAGAR,EXTENTION",DL.NO. : 
,,LUCKNOW U.P. -226006,GstNo : 
,,,Email: 
,,,
145,,VEER ENTERPRISES,Mob : 
,,"398,CHIPPI TANK MEERUT",Tel : 
,,,DL.NO. : 
,,,GstNo : 09AFZPJ7124A1ZA
,,,Email: 
,,,
146,00036,VEER MEDICINE COMPANY,Mob : 
,,,Tel : 
,,,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
147,,VISHAL MEDICOSE,Mob : 
,,"V-1,SHIVAM COMPLEX KHAIR NAGAR",Tel : 
,,MEERUT,"DL.NO. : MRT-OBW-85/2010,MRT-BW-86/2010"
,,,GstNo : 09AOPPK9074H1Z9
,,,Email: 
,,,
148,,WELLCURE PHARMA,Mob : 
,,"6,DAKSHINI ISLAMABAD",Tel : 
,,ANSARI ROAD MEERUT,"DL.NO. : UP1520B000207 , UP1521B000207"
,,,GstNo : 09AGAPN6630P1ZX
,,,Email: 
,,,
149,,WOCKHARDT LIMITED,Mob : 
,,"B4/4,MEERUT ROAD INDUSTRIAL",Tel : 01202752074
,,AREA SITE-III GHAZIABAD,DL.NO. : 72/20B/GZB/2002
,,,GstNo : 09AAACW2472M1ZX
,,,Email: 
,,,
150,,Y.P.MEDICINE COMPANY,Mob : 
,,"SHOP NO.5,FIRST FLOOR MATEEN",Tel : 
,,COMPLEX KHAIR NAGAR MEERUT,"DL.NO. : UP1520B002419 , UP1521B002412"
,,,GstNo : 09BNAPK6242C1ZB
,,,Email: amitkumar1516@gmail.com
,,,
,,,
